company,paddle,thinkness,power_percentile,spin_percentile,twist_percentile,balance_percentile,swing_percentile,pop_percentile,shape,face_material,handle_length,spin_rpm,swing_weight,twist_weight,core_material,surface_texture,length,width,static_weight,balance_point_cm,serve_speed_mph,punch_volley_speed
GRÜVN,MÜVN-13S,13,0.46,0.22,0.49,0.03,0.05,0.90,Wide Body,T700 Carbon Fiber,5.3,"1,846",101,6.35,Polypropylene Honeycomb,Peel Ply-Coarse,15.7,8.1,7.9,22.5,54.8,36.4
GRÜVN,MÜVN-13X,13,0.61,0.38,0.28,0.48,0.41,0.45,Elongated,T700 Carbon Fiber,5.5,"1,975",114,5.93,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,7.8,23.9,55.4,34.9
GRÜVN,MÜVN-16E,16,0.51,0.26,0.49,0.42,0.66,0.45,Elongated,T700 Carbon Fiber,4.75,"1,862",118,6.35,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.3,23.8,55,34.9
GRÜVN,MÜVN-16H,16,0.66,0.21,0.37,0.67,0.84,0.76,Elongated,T700 Carbon Fiber,5.88,"1,821",122,6.15,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.4,8.2,24.2,55.6,35.7
GRÜVN,MÜVN-16S,16,0.33,0.42,0.77,0.06,0.07,0.50,Wide Body,T700 Carbon Fiber,5.3,"2,002",103.9,6.8,Polypropylene Honeycomb,Peel Ply-Coarse,15.7,8.1,8,22.7,54.3,35
GRÜVN,MÜVN-16X,16,0.33,0.44,0.46,0.33,0.58,0.26,Elongated,T700 Carbon Fiber,5.5,"2,013",116.7,6.3,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.4,8.2,23.7,54.3,34.2
GRÜVN,Raw-13R,13,0.07,0.71,0.60,0.06,0.01,0.36,Wide Body,T700 Carbon Fiber,5.25,"2,171",96.8,6.51,Polypropylene Honeycomb,Peel Ply-Coarse,15.6,8.2,7.6,22.7,52.3,34.6
GRÜVN,Raw-13S,13,0.21,0.84,0.77,0.24,0.14,0.45,Wide Body,T700 Carbon Fiber,5.3,"2,255",106.4,6.8,Polypropylene Honeycomb,Peel Ply-Coarse,15.7,8.1,7.8,23.5,53.4,34.9
GRÜVN,Raw-13V,13,0.08,0.37,0.77,0.09,0.03,0.42,Wide Body,T700 Carbon Fiber,4.75,"1,965",99,6.8,Polypropylene Honeycomb,Peel Ply-Coarse,15.5,8.1,7.7,22.8,52.5,34.8
GRÜVN,Raw-16H,16,0.09,0.71,0.20,0.96,0.78,0.16,Elongated,T700 Carbon Fiber,5.88,"2,166",121,5.74,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,7.7,25,52.6,33.8
