Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Hurache-X Control +,11SIX24,$139.99,PBEFFECT,https://a8qh.short.gy/HX,2024,Elongated,Carbon/Fiberglass,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.13,7.94,High,1940,117,60%,6.32,46%,240,53.6,56%,33.9,54%
Hurache-X Jelly Bean 14mm,11SIX24,$104.99,PBEFFECT,https://a8qh.short.gy/HJB14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,,14,6.00,4.13,7.90,,,115,45%,5.92,23%,242,,,,
Hurache-X Jelly Bean 16mm,11SIX24,$104.99,PBEFFECT,https://a8qh.short.gy/HJB16,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,,16,6.00,4.13,8.14,,,122,83%,6.36,49%,242,,,,
Hurache-X Power,11SIX24,,PBEFFECT,Feb 2025,2025,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,,16,6.00,4.13,8.15,,,117,60%,6.40,52%,240,,,,
Monarch All Court,11SIX24,$139.99,PBEFFECT,https://a8qh.short.gy/MAC,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,4.13,8.10,Very High,1976,110,17%,7.40,97%,235,53.5,52%,34.0,56%
Monarch Control,11SIX24,$139.99,PBEFFECT,https://a8qh.short.gy/MC,2024,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.13,8.16,Very High,1977,111,22%,7.44,97%,233,52.5,25%,33.6,39%
Monarch Control (14mm),11SIX24,$149.99,PBEFFECT,https://a8qh.short.gy/C14,2024,Widebody,Carbon/Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.75,4.13,8.08,Very High,1990,112,26%,7.10,90%,234,53.3,47%,34.8,88%
Monarch Jelly Bean (14mm),11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/JB14,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,Power,14,5.75,4.13,8.14,Very High,2011,111,22%,7.00,87%,235,53.8,64%,34.5,77%
Monarch Jelly Bean (16mm),11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/JB,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.75,4.13,8.16,High,1950,111,22%,7.49,98%,236,52.8,31%,33.5,34%
Pegasus Power,11SIX24,,PBEFFECT,Feb 2025,2025,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,,16,5.75,4.13,8.33,,,111,22%,7.60,98%,233,,,,
Vapor Power,11SIX24,,PBEFFECT,Feb 2025,2025,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,,16,5.75,4.13,8.30,,,116,54%,7.10,90%,237,,,,
Ballr+,Babolat,$219.99,10EFFECT,https://a8qh.short.gy/BALLR,2024,Hybrid,Carbon,Paint Grit,Gen 2/Edgeless,All-Court,16,5.50,4.00,8.18,Medium,1881,112,26%,5.65,7%,234,53.5,52%,34.0,56%
Strkr+,Babolat,$219.99,10EFFECT,https://a8qh.short.gy/STRKR,2024,Extra-elongated,Carbon,Paint Grit,Gen 2/Edgeless,Power,13,5.50,4.00,8.05,Low,1815,120,77%,5.43,3%,240,53.8,64%,33.9,54%
WZRD,Babolat,$219.99,10EFFECT,https://a8qh.short.gy/WRZD,2024,Widebody,Carbon,Paint Grit,Gen 2/Edgeless,Control,20,5.00,4.00,8.40,Low,1837,105,4%,5.93,24%,223,53.2,43%,33.1,23%
X2 Lite,Body Helix,$160.00,PBEFFECT,https://a8qh.short.gy/X2Lite,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.25,8.12,Low,1842,123,87%,6.32,46%,245,51.0,4%,31.8,1%
X2 Pro,Body Helix,$180.00,PBEFFECT,https://a8qh.short.gy/X2Pro,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,19,6.00,4.25,8.88,Very High,1981,134,98%,6.74,73%,246,53.0,34%,32.8,13%
X3 Lite,Body Helix,$160.00,PBEFFECT,https://a8qh.short.gy/X3Lite,2023,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.25,8.25,High,1920,125,94%,6.03,29%,245,51.0,4%,32.8,13%
X3 Pro,Body Helix,$180.00,PBEFFECT,https://a8qh.short.gy/X3Pro,2023,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,18,6.00,4.25,8.73,High,1949,132,98%,6.65,69%,246,52.8,31%,32.2,4%
X4 Gold Kevlar,Body Helix,$140.00,PBEFFECT,https://a8qh.short.gy/X4Gold,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,4.25,8.10,Very High,1972,116,54%,6.63,69%,239,54.1,81%,34.9,92%
Fat Boy,Bread & Butter,$189.99,PBEFFECT,https://a8qh.short.gy/fatboy,2024,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.25,8.17,High,1935,112,26%,7.29,95%,236,53.0,34%,34.5,77%
Filth,Bread & Butter,$165.00,PBEFFECT,https://a8qh.short.gy/Filth,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.07,High,1915,123,87%,6.24,41%,245,52.8,31%,33.2,25%
Invader,Bread & Butter,$189.99,PBEFFECT,https://a8qh.short.gy/INV,2024,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.25,8.18,High,1985,118,67%,6.85,80%,239,53.9,73%,34.1,63%
Loco,Bread & Butter,$165.00,PBEFFECT,https://a8qh.short.gy/LOCO,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.25,7.70,High,1949,114,38%,6.20,39%,243,51.4,11%,33.0,20%
Shogun,Bread & Butter,$189.99,PBEFFECT,https://a8qh.short.gy/Shogun,2024,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.18,High,1928,122,83%,6.20,39%,244,52.5,25%,33.4,30%
FIRE EX,Chorus,$169.99,PBEFFECT,https://a8qh.short.gy/FEX,2024,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.60,4.25,7.80,Very High,2027,114,38%,6.21,39%,241,54.3,88%,34.0,56%
FIRE HX,Chorus,$169.99,PBEFFECT,https://a8qh.short.gy/FHX,2024,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.60,4.25,7.70,Very High,2000,110,17%,6.43,54%,237,54.3,86%,34.1,63%
FIRE SX,Chorus,$169.99,PBEFFECT,https://a8qh.short.gy/FSX,2024,Standard,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.60,4.25,7.85,Very High,2005,108,10%,7.04,88%,235,53.8,64%,34.1,63%
Shapeshifter EX,Chorus,$174.99,PBEFFECT,https://a8qh.short.gy/SEX,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.60,4.25,7.80,Very High,2104,115,45%,6.18,36%,242,54.1,81%,33.8,48%
Shapeshifter HX,Chorus,$174.99,PBEFFECT,https://a8qh.short.gy/SHX,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.60,4.25,7.80,Very High,2071,114,38%,6.46,57%,240,53.9,73%,33.6,39%
Shapeshifter SX,Chorus,$174.99,PBEFFECT,https://a8qh.short.gy/SSX,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.60,4.25,7.70,Very High,2063,107,8%,6.83,80%,235,52.6,29%,33.1,23%
Supercourt EX,Chorus,$119.00,PBEFFECT,Releases Jan 27,2025,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.60,4.25,7.80,,,116,54%,6.45,56%,243,,,,
Supercourt HX,Chorus,$119.00,PBEFFECT,Releases Jan 27,2025,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.60,4.25,7.80,,,115,45%,6.80,77%,242,,,,
Supercourt SX,Chorus,$119.00,PBEFFECT,Releases Jan 27,2025,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.60,4.25,7.70,,,107,8%,7.16,92%,237,,,,
CRBN 1 Orginal (16 mm),CRBN,$179.99,PBEFFECT,https://a8qh.short.gy/crbn1,2021,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.25,8.25,,,118,67%,5.77,10%,238,,,,
CRBN 1X Power Series (14 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn1x14,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.25,7.87,High,1917,118,67%,5.88,18%,243,52.4,24%,33.4,30%
CRBN 1X Power Series (16 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn1x16,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.11,High,1915,124,92%,6.18,36%,244,53.1,40%,32.9,18%
CRBN 2 Orignal (16 mm),CRBN,$179.99,PBEFFECT,https://a8qh.short.gy/crbn2,2021,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.75,4.25,7.94,,,109,14%,7.03,88%,236,,,,
CRBN 2X Power Series (14 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn2x14,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,4.75,4.25,7.80,,,105,4%,6.88,82%,232,,,,
CRBN 2X Power Series (16 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn2x16,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,4.75,4.25,8.20,,,112,26%,7.75,100%,237,,,,
CRBN 3X Power Series (14 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/3x14,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,4.25,7.87,Low,,116,54%,6.39,51%,240,,,,
CRBN 3X Power Series (16 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn3x16,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.18,High,1920,119,73%,6.79,77%,241,53.0,34%,33.6,39%
Edge 18k,Diadem,$229.95,PBEFFECT,https://a8qh.short.gy/18k,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.00,4.13,7.80,,,117,60%,6.21,39%,244,,,,
Edge 18k Power Max,Diadem,$239.95,PBEFFECT,https://a8qh.short.gy/18PM,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,4.13,8.16,,,109,14%,7.87,100%,232,,,,
Edge 18k Speed Pro,Diadem,$239.95,PBEFFECT,https://a8qh.short.gy/18SP,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.70,4.13,8.03,,,124,92%,6.31,45%,249,,,,
Icon Infinity Max,Diadem,$219.95,PBEFFECT,https://a8qh.short.gy/IPM,2024,Widebody,Carbon,Paint Grit,Gen 2,All-Court,14,5.00,4.13,8.25,,,113,33%,7.35,95%,236,,,,
Icon V2 Standard,Diadem,$199.99,PBEFFECT,,2023,Standard,Carbon,Paint Grit,Gen 1.5/Edgeless,Power,14,5.25,4.13,8.00,,,106,6%,5.87,17%,230,,,,
Icon V2 XL,Diadem,$199.99,PBEFFECT,,2023,Elongated,Carbon,Paint Grit,Gen 1.5/Edgeless,Power,14,5.50,4.13,8.20,,,122,83%,5.65,7%,241,,,,
Pursuit MAXX EX 6.0,Engage,$199.99,PBEFFECT,https://a8qh.short.gy/MEX6.0,2024,Standard,Carbon,Paint Grit,Gen 1,All-Court,16,5.00,4.25,8.10,Low,1815,117,60%,7.61,99%,244,52.7,30%,33.3,27%
Pursuit MAXX MX 6.0,Engage,$199.99,PBEFFECT,https://a8qh.short.gy/MMX6.0,2024,Elongated,Carbon,Paint Grit,Gen 1,Power,16,5.75,4.25,8.20,Low,1780,125,94%,6.44,56%,245,53.0,34%,33.4,30%
Pursuit Pro EX,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PEX,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.00,4.25,8.00,Very High,1952,110,17%,6.77,75%,236,53.3,47%,34.5,77%
Pursuit Pro EX 6.0,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PEX6.0,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.00,4.25,7.92,High,1946,115,45%,7.37,96%,243,53.8,64%,34.0,56%
Pursuit Pro MX,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PMX,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.75,4.25,8.06,,,119,73%,5.88,18%,239,54.2,84%,34.4,75%
Pursuit Pro MX 6.0,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PMX6.0,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.75,4.25,7.87,,,125,94%,6.57,65%,254,54.8,93%,33.7,45%
Pursuit Pro1 (Lite),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro1,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.88,4.25,7.85,Very High,1964,112,26%,5.83,15%,234,53.5,52%,34.5,77%
Pursuit Pro1 (Standard),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro1,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.88,4.25,8.04,Very High,1956,114,38%,5.94,24%,232,54.0,75%,34.3,73%
Pursuit Pro1 6.0 (Lite),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro16.0,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,16,5.88,4.25,7.66,High,1948,115,45%,5.81,13%,241,53.9,73%,35.0,92%
Pursuit Pro1 6.0 (Standard),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro16.0,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,16,5.88,4.25,8.01,Very High,1959,115,45%,5.83,15%,235,53.7,60%,34.5,77%
Pursuit V2,Engage,$179.99,PBEFFECT,https://a8qh.short.gy/PV2,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,,15,5.30,4.25,7.85,Very High,2119,111,22%,5.94,24%,235,53.3,47%,34.2,69%
Dynasty 12 Feather Weight,Franklin,$149.99,PBEFFECT,https://a8qh.short.gy/F12,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,12,5.75,4.30,7.25,High,1936,109,14%,5.70,9%,242,53.8,64%,33.2,25%
FS Tour Dynasty (14mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/D14,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.60,4.30,8.28,Very High,1975,124,92%,6.56,64%,242,53.7,60%,33.4,30%
FS Tour Dynasty (16mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/D16,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.60,4.30,8.69,Medium,1864,134,98%,7.22,93%,246,54.2,84%,32.4,7%
FS Tour Tempo (14mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/T14,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.00,4.30,8.47,High,1920,117,60%,7.23,94%,235,54.0,75%,33.2,25%
FS Tour Tempo (16mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/T16,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,4.30,8.90,High,1925,123,87%,7.68,99%,234,53.8,64%,31.8,1%
Challenger,Friday,$89.00,10EFFECT,https://a8qh.short.gy/Friday,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,7.70,Medium,1889,112,26%,5.80,12%,238,53.8,64%,34.1,63%
Original,Friday,$69.00,10EFFECT,https://a8qh.short.gy/Friday,2024,Hybrid,Carbon,Paint Grit,Gen 2,All-Court,16,5.50,4.25,8.20,High,1926,118,67%,6.29,44%,239,54.3,86%,33.3,27%
RCF-Airbender 16,Gamma,$199.99,PBEFFECT,https://a8qh.short.gy/Bender,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.13,8.45,Medium,1896,118,67%,5.80,12%,,53.0,34%,32.9,18%
RCF-Obsidian 10,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O10,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,10,5.75,4.13,7.90,Low,1813,116,54%,5.87,17%,243,53.1,40%,34.0,56%
RCF-Obsidian 13,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O13,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.75,4.13,8.03,Medium,1893,116,54%,6.18,36%,240,52.5,25%,32.8,13%
RCF-Obsidian 16,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O16,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.13,8.13,Medium,1897,120,77%,6.53,61%,244,53.3,47%,32.6,9%
CX14H Ultimate Power,Gearbox,$249.99,N/A,https://a8qh.short.gy/CX14U,2023,Standard,Carbon,Paint Grit,Gen 1/Edgeless,All-Court,14,5.50,4.00,8.50,,,96,0%,5.31,2%,203,,,,
Pro Control Elongated,Gearbox,$274.99,N/A,https://a8qh.short.gy/PCE,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,4.00,8.07,High,1914,123,87%,5.01,0%,247,52.2,21%,32.2,4%
Pro Control Integra,Gearbox,$274.99,N/A,https://a8qh.short.gy/PCF,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,4.00,7.95,Very High,1954,116,54%,5.12,1%,246,52.0,18%,32.8,13%
Pro Power Elongated,Gearbox,$274.99,N/A,https://a8qh.short.gy/PPE,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,7.88,Very High,1986,121,80%,5.16,1%,248,55.4,97%,34.8,88%
Pro Power Integra,Gearbox,$274.99,N/A,https://a8qh.short.gy/PPF,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,7.98,Very High,1951,114,38%,4.96,0%,241,54.2,84%,34.0,56%
Pro Ultimate Elongated,Gearbox,$274.99,N/A,https://a8qh.short.gy/GPU,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.50,4.00,8.00,Very High,1987,124,92%,5.38,2%,256,54.8,93%,33.8,48%
Pro Ultimate Hyper,Gearbox,$274.99,N/A,https://a8qh.short.gy/PUH,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.25,4.00,8.00,Very High,1986,115,45%,6.36,49%,248,54.2,83%,34.5,85%
Aegis,Gherkin,$99.99,,,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.30,4.25,8.00,,,112,26%,6.93,84%,237,,,,
Aspire,Gherkin,$99.99,,,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.30,4.25,8.00,,,118,67%,6.28,43%,241,,,,
Solace,Gherkin,$99.99,,,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.30,4.25,7.90,,,112,26%,6.30,44%,238,,,,
LAZR-16S,Gruvn,$169.99,PBEFFECT,,2024,Standard,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.40,4.13,8.00,,,108,10%,7.13,91%,234,,,,
LAZR-16X,Gruvn,$169.99,PBEFFECT,,2024,Standard,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.50,4.13,8.00,,,118,67%,6.41,53%,241,,,,
MUVN-13S,Gruvn,$159.00,PBEFFECT,,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,,13,5.50,4.13,7.90,,,100,0%,6.40,52%,224,,,,
Boom Tour EX,Head,$200.00,N/A,https://a8qh.short.gy/BoomT,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,11,5.50,4.13,7.84,Very High,2074,116,54%,5.46,4%,244,54.5,89%,36.0,100%
Radical Nite,Head,$219.00,N/A,https://a8qh.short.gy/Nite,2024,Elongated,Carbon,Paint Grit,Gen 2,,15,5.50,4.13,8.11,,,115,45%,5.91,22%,236,,,,
Tour Radical Raw EX,Head,$169.95,N/A,https://a8qh.short.gy/EXRaw,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.50,4.13,8.17,,,115,45%,5.56,5%,236,,,,
Aero Metallic TI (16mm),Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/PAM ,2024,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,7.95,Very High,1982,117,60%,5.85,17%,240,53.4,50%,33.5,34%
Aero S (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AS16 ,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 3,Control,16,5.00,4.25,7.80,,,105,4%,6.63,69%,232,,,,
Aero T (14mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AT14 ,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.50,4.25,7.80,Very High,1968,115,45%,5.70,9%,241,53.8,64%,34.3,73%
Aero T (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AT16 ,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 5,All-Court,16,5.50,4.25,7.81,Very High,2016,113,33%,5.69,8%,238,54.0,75%,34.1,63%
Aero X (14mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AX14 ,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 6,All-Court,14,5.25,4.25,7.80,Very High,1974,112,26%,5.83,15%,239,53.3,46%,34.1,63%
Aero X (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AX16 ,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 7,All-Court,16,5.25,4.25,7.82,Very High,1974,113,33%,5.82,14%,238,53.9,73%,34.0,56%
Mav Pro,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/MP,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.50,4.25,8.17,,,123,87%,6.10,30%,245,,,,
Power Pro,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/HP,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.03,,,121,80%,6.39,51%,241,,,,
Pro Power E,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/HPE,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.25,,,122,83%,6.68,71%,241,,,,
J2,Honolulu Pickleball,$145.00,PBEFFECT,https://a8qh.short.gy/J2,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,7.95,,,110,17%,6.81,78%,236,,,,
J2K,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J2K,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.22,High,1948,115,45%,7.10,90%,237,53.2,43%,34.3,73%
J3k,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J3K,2024,Standard,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.13,8.28,,,117,60%,7.22,93%,239,,,,
J7K,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J7K,2024,Extra-elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,16,6.00,4.13,8.25,,,123,87%,6.36,49%,242,,,,
Mage Pro,Hudef,$99.00,10EFFECT,https://a8qh.short.gy/Mage,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.35,4.00,7.77,,,113,33%,6.13,34%,241,,,,
Viva Pro Gen 2,Hudef,$129.99,10EFFECT,https://a8qh.short.gy/VGEN2,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.06,Medium,1854,125,94%,6.43,54%,251,53.6,56%,33.4,30%
Viva Pro Gen 3,Hudef,$169.99,10EFFECT,https://a8qh.short.gy/G3,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,7.76,,,119,73%,6.16,36%,250,,,,
Hyperion 3S (14mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/3SH14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.85,Very High,1967,115,45%,6.01,28%,245,54.0,75%,34.1,63%
Hyperion 3S (16mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/3SH16,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.90,Very High,1989,115,45%,6.12,33%,244,55.3,96%,34.8,88%
Magnus 3S (14mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/3SM14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.00,4.13,7.90,,,113,33%,6.13,34%,240,,,,
Magnus 3S (16mm),JOOLA,$275.00,PBEFFECT,https://a8qh.short.gy/Mag14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.14,High,1949,118,67%,6.45,56%,242,55.5,98%,34.7,85%
MOD TA-15 (16mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/Mod16,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.84,Very High,2014,116,54%,6.10,30%,244,55.8,98%,35.1,95%
Mod-TA-15 (14mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/mod14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.13,7.56,Very High,2044,112,26%,5.77,10%,243,56.4,99%,35.7,99%
Perseus (14 mm),JOOLA,$249.99,PBEFFECT,https://a8qh.short.gy/P14,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.13,7.93,,,121,80%,5.77,10%,247,,,,
Perseus (16 mm),JOOLA,$249.99,PBEFFECT,https://a8qh.short.gy/P16,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.25,7.85,Low,1818,117,60%,5.87,17%,244,51.0,4%,32.8,13%
Perseus 3S (14mm),JOOLA,$279.95,PBEFFECT,https://a8qh.short.gy/3SP14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.90,,,117,60%,6.00,27%,244,,,,
Scorpeus (14 mm),JOOLA,$249.99,PBEFFECT,https://a8qh.short.gy/S14,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,4.13,7.65,Medium,1856,108,10%,6.45,56%,238,51.0,4%,33.6,39%
