Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Power Air Epic,Selkirk,$249.99,INF-BRAYDONU,https://a8qh.short.gy/EAir,2022,Standard,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,4.25,8.04,Medium,1884,104,3%,6.35,47%,229,51.4,11%,34.5,77%
Power Air Invikta,Selkirk,$249.99,INF-BRAYDONU,https://a8qh.short.gy/IAir,2022,Elongated,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,4.25,8.00,Medium,1894,112,26%,5.62,7%,237,51.6,14%,34.4,75%
Vanguard Control Epic (midweight),Selkirk,$200.00,INF-BRAYDONU,https://a8qh.short.gy/VCEpic,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.30,4.25,8.14,,,112,26%,6.37,50%,236,,,,
Vanguard Control Invikta (mideweight),Selkirk,$200.00,INF-BRAYDONU,https://a8qh.short.gy/VCInvikta,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.25,7.97,,,113,33%,5.65,7%,237,,,,
Vanguard Control S2 (midweight),Selkirk,$200.00,INF-BRAYDONU,https://a8qh.short.gy/VCS2,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.70,4.25,8.01,,,105,4%,7.09,90%,230,,,,
Vanguard Pro Power Invikta,Selkirk,$220.00,INF-BRAYDONU,https://a8qh.short.gy/ProPI,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.03,High,1937,114,38%,5.89,19%,237,53.8,64%,33.2,25%
Project 005 Epic,Selkirk Labs,$222.00,INF-BRAYDONU,https://a8qh.short.gy/005,2023,Standard,Fiberglass,Paint Grit,Gen 2/Edgeless,All-Court,16,5.25,4.25,7.97,,,110,17%,6.88,82%,238,,,,
Project 006 Maxima,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/006,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.25,8.39,Low,1848,118,67%,5.97,26%,236,52.2,21%,32.4,7%
Project 007 Epic 14mm,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/007E14,2024,Standard,Carbon,Paint Grit,Gen 2/Edgeless,Power,14,5.25,4.25,8.13,Very High,1981,113,33%,6.50,60%,239,53.6,56%,34.7,85%
Project 007 Invikta 14mm,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/00714,2024,Elongated,Carbon,Paint Grit,Gen 2,Power,14,,4.25,8.13,Very High,2005,118,67%,5.94,24%,243,54.5,89%,34.2,69%
Black Diamond 14mm,Six Zero,$180.00,PBEFFECT,https://a8qh.short.gy/BD14,2024,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.25,8.00,Very High,1988,112,26%,6.46,57%,237,53.7,60%,34.7,85%
Black Diamond 16mm,Six Zero,$179.99,PBEFFECT,https://a8qh.short.gy/BD,2023,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,4.25,8.07,Very High,1981,114,38%,6.67,70%,239,54.0,75%,34.2,69%
Black Diamond Amethyst Pro,Six Zero,$199.00,PBEFFECT,https://a8qh.short.gy/BDPRO,2023,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,4.25,8.23,,,115,45%,6.72,73%,234,,,,
Black Diamond Infinity 16mm,Six Zero,$220.00,PBEFFECT,https://a8qh.short.gy/BDi,2023,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2/Edgeless,All-Court,16,5.50,4.25,7.97,Very High,1990,107,8%,5.80,12%,229,51.0,4%,33.4,30%
Double Black Diamond (Elongated),Six Zero,$189.99,PBEFFECT,https://a8qh.short.gy/DBDe,2024,Extra-elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,15,6.00,4.25,8.18,High,1931,122,83%,5.74,10%,242,54.1,81%,34.1,63%
