Paddle Name,Brand,Price,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Handle Length (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Link to Paddle,Discount Code
X3 Lite,Body Helix,$160.00,2023,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,8.25,High,1920,125,94%,6.03,31%,245,51.0,4%,32.8,15%,https://a8qh.short.gy/X3Lite,10EFFECT
X3 Pro,Body Helix,$180.00,2023,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,18,6.00,8.73,High,1949,132,98%,6.65,70%,246,52.8,34%,32.2,5%,https://a8qh.short.gy/X3Pro,10EFFECT
X4 Gold Kevlar,Body Helix,$140.00,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,8.10,Very High,1972,116,50%,6.63,69%,239,54.1,82%,34.9,91%,https://a8qh.short.gy/X4Gold,10EFFECT
Fat Boy,Bread & Butter,$189.99,2024,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,8.17,High,1935,112,24%,7.29,96%,236,53.0,36%,34.5,77%,https://a8qh.short.gy/fatboy,15EFFECT
Filth,Bread & Butter,$165.00,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.07,High,1915,123,86%,6.24,43%,245,52.8,34%,33.2,27%,https://a8qh.short.gy/Filth,15EFFECT
Loco,Bread & Butter,$165.00,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,7.70,High,1949,114,35%,6.20,41%,243,51.4,13%,33.0,22%,https://a8qh.short.gy/LOCO,15EFFECT
Shogun,Bread & Butter,$189.99,2024,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.18,High,1928,122,81%,6.20,41%,244,52.5,28%,33.4,34%,https://a8qh.short.gy/Shogun,15EFFECT
CRBN 1 Orginal (16 mm),CRBN,$179.99,2021,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,8.25,High,,118,64%,5.77,11%,238,,,,,https://a8qh.short.gy/crbn1,10EFFECT
CRBN 1X Power Series (14 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,7.87,High,1917,118,64%,5.88,20%,243,52.4,27%,33.4,34%,https://a8qh.short.gy/crbn1x14,10EFFECT
CRBN 1X Power Series (16 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.11,High,1915,124,91%,6.18,39%,244,53.1,42%,32.9,21%,https://a8qh.short.gy/crbn1x16,10EFFECT
CRBN 2 Orignal (16 mm),CRBN,$179.99,2021,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.75,7.94,High,,109,13%,7.03,89%,236,,,,,https://a8qh.short.gy/crbn2,10EFFECT
CRBN 2X Power Series (14 mm),CRBN,$229.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,4.75,7.80,High,,105,3%,6.88,83%,232,,,,,https://a8qh.short.gy/crbn2x14,10EFFECT
CRBN 2X Power Series (16 mm),CRBN,$229.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,4.75,8.20,High,,112,24%,7.75,100%,237,,,,,https://a8qh.short.gy/crbn2x16,10EFFECT
CRBN 3X Power Series (14 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,7.87,High,,116,50%,6.39,53%,240,,,,,https://a8qh.short.gy/3x14,10EFFECT
CRBN 3X Power Series (16 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,8.18,High,1920,119,70%,6.79,79%,241,53.0,36%,33.6,43%,https://a8qh.short.gy/crbn3x16,10EFFECT
Edge 18k,Diadem,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,7.80,Very High,,117,56%,6.21,43%,244,,,,,https://a8qh.short.gy/E18K,10EFFECT
Edge 18k Speed Pro,Diadem,,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.70,8.03,,,124,91%,6.31,48%,249,,,,,https://a8qh.short.gy/PS14,10EFFECT
Icon V2 Standard,Diadem,$199.99,2023,Standard,Carbon,Paint Grit,Gen 1.5/Edgeless,Power,14,5.25,8.00,High,,106,6%,5.87,18%,230,,,,,https://a8qh.short.gy/V2S,10EFFECT
Icon V2 XL,Diadem,$199.99,2023,Elongated,Carbon,Paint Grit,Gen 1.5/Edgeless,Power,14,5.50,8.20,High,,122,81%,5.65,8%,241,,,,,https://a8qh.short.gy/V2XL,10EFFECT
Model E Elite,Electrum,$199.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,8.16,High,,121,77%,6.93,85%,243,,,,,https://a8qh.short.gy/Elite,10EFFECT
Pro 2,Electrum,$149.99,2022,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Power,11,5.25,8.30,Very High,,117,56%,7.15,93%,239,,,,,https://a8qh.short.gy/Pro2,10EFFECT
Pursuit MAXX EX 6.0,Engage,$199.99,2024,Standard,Carbon,Paint Grit,Gen 1,All-Court,16,5.00,8.10,,1815,117,56%,7.61,99%,244,52.7,33%,33.3,31%,https://a8qh.short.gy/MEX6.0,10EFFECT
Pursuit MAXX MX 6.0,Engage,$199.99,2024,Elongated,Carbon,Paint Grit,Gen 1,Power,16,5.75,8.20,,1780,125,94%,6.44,57%,245,53.0,36%,33.4,34%,https://a8qh.short.gy/MMX6.0,10EFFECT
Pursuit Pro EX,Engage,$259.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.00,8.00,Very High,1952,110,16%,6.77,77%,236,53.3,50%,34.5,77%,https://a8qh.short.gy/PEX,10EFFECT
Pursuit Pro EX 6.0,Engage,$259.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.00,7.92,Very High,1946,115,41%,7.37,97%,243,53.8,67%,34.0,58%,https://a8qh.short.gy/PEX6.0,10EFFECT
Pursuit Pro MX,Engage,$259.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.75,8.06,Very High,,119,70%,5.88,20%,239,54.2,85%,34.4,75%,https://a8qh.short.gy/PMX,10EFFECT
Pursuit Pro MX 6.0,Engage,$259.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.75,7.87,Very High,,125,94%,6.57,65%,254,54.8,92%,33.7,47%,https://a8qh.short.gy/PMX6.0,10EFFECT
Pursuit Pro1 (Lite),Engage,$259.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.88,7.85,Very High,1964,112,24%,5.83,16%,234,53.5,55%,34.5,77%,https://a8qh.short.gy/Pro1,10EFFECT
Pursuit Pro1 (Standard),Engage,$259.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.88,8.04,Very High,1956,114,35%,5.94,27%,232,54.0,77%,34.3,73%,https://a8qh.short.gy/Pro1,10EFFECT
Pursuit Pro1 6.0 (Lite),Engage,$259.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,16,5.88,7.66,Very High,1948,115,41%,5.81,14%,241,53.9,76%,35.0,92%,https://a8qh.short.gy/Pro16.0,10EFFECT
Pursuit Pro1 6.0 (Standard),Engage,$259.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,16,5.88,8.01,Very High,1959,115,41%,5.83,16%,235,53.7,64%,34.5,77%,https://a8qh.short.gy/Pro16.0,10EFFECT
Dynasty 12 Feather Weight,Franklin,$149.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,12,5.75,7.25,High,1936,109,13%,5.70,9%,242,53.8,67%,33.2,27%,https://a8qh.short.gy/F12,10EFFECT
FS Tour Dynasty (14mm),Franklin,$150.00,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.60,8.28,High,1975,124,91%,6.56,64%,242,53.7,64%,33.4,34%,https://a8qh.short.gy/D14,N/A
FS Tour Dynasty (16mm),Franklin,$150.00,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.60,8.69,High,1864,134,98%,7.22,93%,246,54.2,85%,32.4,8%,https://a8qh.short.gy/D16,N/A
FS Tour Tempo (14mm),Franklin,$150.00,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.00,8.47,High,1920,117,56%,7.23,94%,235,54.0,77%,33.2,27%,https://a8qh.short.gy/T14,N/A
FS Tour Tempo (16mm),Franklin,$150.00,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,8.90,High,1925,123,86%,7.68,100%,234,53.8,67%,31.8,1%,https://a8qh.short.gy/T16,N/A
Challenger,Friday,$89.00,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.50,7.70,Medium,1889,112,24%,5.80,13%,238,53.8,67%,34.1,66%,https://a8qh.short.gy/Friday,10EFFECT
Original,Friday,$69.00,2024,Hybrid,Carbon,Paint Grit,Gen 2,,16,5.50,8.20,High,1926,118,64%,6.29,47%,239,54.3,87%,33.3,31%,https://a8qh.short.gy/Friday,10EFFECT
RCF-Airbender 16,Gamma,$199.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.30,8.45,High,1896,118,64%,5.80,13%,,53.0,36%,32.9,21%,https://a8qh.short.gy/Bender,10EFFECT
RCF-Obsidian 10,Gamma,$159.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,10,5.75,7.90,High,1813,116,50%,5.87,18%,243,53.1,42%,34.0,58%,https://a8qh.short.gy/O10,10EFFECT
RCF-Obsidian 13,Gamma,$159.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,13,5.75,8.03,High,1893,116,50%,6.18,39%,240,52.5,28%,32.8,15%,https://a8qh.short.gy/O13,10EFFECT
RCF-Obsidian 16,Gamma,$159.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.75,8.13,High,1897,120,73%,6.53,61%,244,53.3,50%,32.6,10%,https://a8qh.short.gy/O16,10EFFECT
CX14H Ultimate Power,Gearbox,$249.99,2023,Standard,Carbon,Paint Grit,Gen 1/Edgeless,All-Court,14,5.50,8.50,High,,96,0%,5.31,2%,203,,,,,https://a8qh.short.gy/CX14U,N/A
Pro Control Elongated,Gearbox,$274.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,8.07,High,1914,123,86%,5.01,0%,247,52.2,24%,32.2,5%,https://a8qh.short.gy/PCE,N/A
Pro Control Integra,Gearbox,$274.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,7.95,Very High,1954,116,50%,5.12,1%,246,52.0,21%,32.8,15%,https://a8qh.short.gy/PCF,N/A
Pro Power Elongated,Gearbox,$274.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,7.88,Very High,1986,121,77%,5.16,2%,248,55.4,98%,34.8,87%,https://a8qh.short.gy/PPE,N/A
Pro Power Integra,Gearbox,$274.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,7.98,Very High,1951,114,35%,4.96,0%,241,54.2,85%,34.0,58%,https://a8qh.short.gy/PPF,N/A
Pro Ultimate,Gearbox,$274.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.50,8.00,Very High,1987,124,91%,5.38,3%,256,54.8,92%,33.8,49%,https://a8qh.short.gy/GPU,N/A
Boom Tour EX,Head,$200.00,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,11,5.50,7.84,Very High,2074,116,50%,5.46,4%,244,54.5,89%,36.0,100%,https://a8qh.short.gy/BoomT,10EFFECT
Radical Nite,Head,$219.00,2024,Elongated,Carbon,Paint Grit,Gen 2,,15,5.50,8.11,,,115,41%,5.91,24%,236,,,,,https://a8qh.short.gy/Nite,10EFFECT
Tour Radical Raw EX,Head,$169.95,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.50,8.17,High,,115,41%,5.56,5%,236,,,,,https://a8qh.short.gy/EXRaw,N/A
Aero Metallic TI (16mm),Holbrook,,2024,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,,Control,16,5.50,7.95,,,117,56%,5.85,18%,240,,,,,Coming September,
Aero S (16mm),Holbrook,,2024,Standard,Carbon,Raw Texture/Peel Ply,,,16,5.00,7.80,,,105,3%,6.63,69%,232,,,,,Coming September,
Aero T (14mm),Holbrook,,2024,Elongated,Carbon,Raw Texture/Peel Ply,,All-Court,14,5.50,7.80,Very High,1968,115,41%,5.70,9%,241,53.8,67%,34.3,73%,Coming September,
Aero T (16mm),Holbrook,,2024,Elongated,Carbon,Raw Texture/Peel Ply,,All-Court,16,5.50,7.81,Very High,2016,113,31%,5.69,9%,238,54.0,77%,34.1,66%,Coming September,
Aero X (14mm),Holbrook,,2024,Elongated,Carbon,Raw Texture/Peel Ply,,All-Court,14,5.25,7.80,Very High,1974,112,24%,5.83,16%,239,53.3,49%,34.1,66%,Coming September,
Aero X (16mm),Holbrook,,2024,Elongated,Carbon,Raw Texture/Peel Ply,,All-Court,16,5.25,7.82,Very High,1974,113,31%,5.82,15%,238,53.9,76%,34.0,58%,Coming September,
Mav Pro,Holbrook,$219.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.50,8.17,Medium,,123,86%,6.10,33%,245,,,,,https://a8qh.short.gy/MP,N/A
Power Pro,Holbrook,$219.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.03,High,,121,77%,6.39,53%,241,,,,,https://a8qh.short.gy/HP,N/A
Pro Power E,Holbrook,$219.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,8.25,High,,122,81%,6.68,72%,241,,,,,https://a8qh.short.gy/HPE,N/A
J2,Honolulu Pickleball,$145.00,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.50,7.95,,,110,16%,6.81,80%,236,,,,,https://a8qh.short.gy/J2,10EFFECT
J2K,Honolulu Pickleball,$155.00,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.22,High,1948,115,41%,7.10,91%,237,53.2,46%,34.3,73%,https://a8qh.short.gy/J2K,10EFFECT
J3k,Honolulu Pickleball,$155.00,2024,Standard,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,,16,6.00,8.28,,,117,56%,7.22,93%,239,,,,,https://a8qh.short.gy/J3K,10EFFECT
J7K,Honolulu Pickleball,$155.00,2024,Extra-elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,,16,6.00,8.25,,,123,86%,6.36,51%,242,,,,,https://a8qh.short.gy/J7K,10EFFECT
Mage Pro,Hudef,$99.00,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.35,7.77,,,113,31%,6.13,37%,241,,,,,https://a8qh.short.gy/Mage,10EFFECT
Viva Pro Gen 2,Hudef,$129.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.06,Medium,1854,125,94%,6.43,55%,251,53.6,60%,33.4,34%,https://a8qh.short.gy/VGEN2,10EFFECT
Viva Pro Gen 3,Hudef,$169.99,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.50,7.76,,,119,70%,6.16,39%,250,,,,,https://a8qh.short.gy/G3,10EFFECT
Hyperion 3 (16mm),JOOLA,$280.00,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,7.80,Very High,2000,114,35%,5.91,24%,243,54.4,89%,35.6,99%,https://a8qh.short.gy/H316,NA
Hyperion 3S (14mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,7.85,Very High,1967,115,41%,6.01,30%,245,54.0,77%,34.1,66%,https://a8qh.short.gy/3SH14,NA
Hyperion 3S (16mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,7.90,Very High,1989,115,41%,6.12,35%,244,55.3,97%,34.8,87%,https://a8qh.short.gy/3SH16,NA
Magnus 3S (14mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.00,7.90,,,113,31%,6.13,37%,240,,,,,https://a8qh.short.gy/3SM14,NA
Magnus 3S (16mm),JOOLA,$275.00,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,8.14,High,1949,118,64%,6.45,57%,242,55.5,99%,34.7,86%,https://a8qh.short.gy/Mag14,NA
MOD TA-15 (16mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,7.84,Very High,2014,116,50%,6.10,33%,244,55.8,99%,35.1,95%,https://a8qh.short.gy/Mod16,N/A
Mod-TA-15 (14mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,7.56,Very High,2044,112,24%,5.77,11%,243,56.4,100%,35.7,99%,https://a8qh.short.gy/mod14,N/A
Perseus (14 mm),JOOLA,$249.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,7.93,,,121,77%,5.77,11%,247,,,,,https://a8qh.short.gy/P14,10EFFECT
Perseus (16 mm),JOOLA,$249.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,7.85,High,1818,117,56%,5.87,18%,244,51.0,4%,32.8,15%,https://a8qh.short.gy/P16,10EFFECT
Perseus 3S (14mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,7.90,,,117,56%,6.00,29%,244,,,,,https://a8qh.short.gy/3SP14,NA
Scorpeus (14 mm),JOOLA,$249.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,7.65,High,1856,108,9%,6.45,57%,238,51.0,4%,33.6,43%,https://a8qh.short.gy/S14,10EFFECT
Scorpeus (16 mm),JOOLA,$249.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.25,8.02,High,1845,113,31%,6.86,82%,238,50.8,3%,32.6,10%,https://a8qh.short.gy/S16,10EFFECT
Scorpeus 3S (14mm),JOOLA,$279.95,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,7.85,Very High,2068,111,20%,6.78,78%,240,54.1,82%,34.4,75%,https://a8qh.short.gy/3SS14,NA
Scorpeus 3S (16mm),JOOLA,$279.95,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,8.12,Very High,2011,116,50%,7.23,94%,241,54.6,91%,35.1,95%,https://a8qh.short.gy/S3S16,NA
Hyperion 3S (16mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,7.89,Very High,2010,115,41%,6.10,33%,243,55.0,95%,34.5,77%,https://a8qh.short.gy/H3S16,NA
Persues 3S (16mm),JOOLA,$279.95,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,8.00,Very High,1983,121,77%,6.27,46%,245,55.3,97%,34.5,77%,https://a8qh.short.gy/P3S16,NA
Pro,Legacy,$169.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,8.10,High,,122,81%,6.69,72%,245,,,,,,
One,Mark,$159.99,2024,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,8.18,,,119,70%,6.57,65%,242,,,,,https://a8qh.short.gy/One,10EFFECT
OneX,Mark,$159.99,2024,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,7.94,,,117,56%,6.46,58%,244,,,,,https://a8qh.short.gy/OneX,10EFFECT
Two,Mark,$159.99,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,8.24,,,123,86%,6.66,70%,245,,,,,https://a8qh.short.gy/M2,10EFFECT
Havik-15 All-Court,Maverix,$180.00,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,15,5.30,8.18,High,1893,118,64%,6.57,65%,239,53.3,50%,34.0,58%,https://a8qh.short.gy/15AC,15EFFECT
Havik-15 Pro,Maverix,$200.00,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,15,5.30,8.23,High,1889,118,64%,6.46,58%,240,53.6,60%,34.5,77%,https://a8qh.short.gy/15Pro,15EFFECT
Flare (16mm),Neonic,,2024,Standard,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,8.15,Very High,2015,116,50%,7.06,90%,239,53.3,49%,33.5,38%,Releasing Sep 10,10EFFECT
Flare Prime X,Neonic,$139.99,2024,Widebody,Carbon,Raw Texture/Peel Ply,,,14,5.50,7.77,,,107,8%,6.75,76%,237,,,,,unreleased,10EFFECT
Flow,Neonic,$129.99,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.20,8.14,,1914,117,56%,6.58,66%,238,52.3,26%,32.7,14%,https://a8qh.short.gy/Flow,10EFFECT
Flow Prime X,Neonic,,2024,Hybrid,Carbon,Raw Texture/Peel Ply,,,16,5.50,7.86,,,112,24%,6.12,35%,240,,,,,unreleased,10EFFECT
Force,Neonic,$99.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,8.06,High,1814,116,50%,6.35,50%,238,52.4,27%,32.8,15%,https://a8qh.short.gy/force16,10EFFECT
Aero Infinityshot,Oneshot,$220.00,2023,Elongated,Carbon,Paint Grit,Gen 1/Edgeless,All-Court,15,5.50,8.27,High,,120,73%,5.88,20%,240,,,,,,
Bantam ALW-C (12.7) New Version,Paddletek,$250.00,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.25,7.55,Very High,2083,102,0%,6.54,62%,234,53.8,67%,35.0,92%,https://a8qh.short.gy/alw12,10EFFECT
Bantam ALW-C (14.3) New Version,Paddletek,$250.00,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.25,7.70,Very High,2056,105,3%,6.50,60%,237,53.5,55%,34.2,71%,https://a8qh.short.gy/alw14,10EFFECT
Bantam ESQ-C (12.7),Paddletek,$250.00,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.50,7.82,Very High,2071,103,1%,6.78,78%,236,54.0,77%,35.1,95%,https://a8qh.short.gy/esq12,10EFFECT
Bantam ESQ-C (14.3),Paddletek,$250.00,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.50,7.85,Very High,2059,106,6%,6.69,72%,232,53.7,64%,34.5,77%,https://a8qh.short.gy/esq14,10EFFECT
Bantam TKO-C 12.7mm,Paddletek,$229.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.25,7.78,High,1903,114,35%,6.60,67%,243,54.6,91%,35.5,98%,https://a8qh.short.gy/C12.7,10EFFECT
Bantam TKO-C 14.3mm,Paddletek,$229.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,14,5.25,7.75,High,1910,115,41%,6.48,59%,245,54.8,92%,35.3,97%,https://a8qh.short.gy/C14.3,10EFFECT
Bantam TKO-CX 12.7,Paddletek,$229.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.75,7.82,,,117,56%,6.97,87%,247,,,,,https://a8qh.short.gy/CX12.7,10EFFECT
Bantam TKO-CX 14.3,Paddletek,$229.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,14,5.75,8.06,,,123,86%,7.35,96%,250,,,,,https://a8qh.short.gy/CX14.3,10EFFECT
Tempest TKO-C 14.3,Paddletek,$229.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.25,8.13,Medium,1848,120,73%,6.43,55%,245,54.0,77%,33.8,49%,https://a8qh.short.gy/T14.3,10EFFECT
Tempest Wave Pro-C,Paddletek,$209.99,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,14,5.25,7.92,Medium,1835,108,9%,6.98,87%,236,52.6,33%,33.7,47%,https://a8qh.short.gy/WPro,10EFFECT
Pro Line Energy,Pickleball Apes,$149.99,2023,Extra-elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,17,6.25,8.16,Very High,,127,97%,5.89,21%,248,53.0,36%,,,https://a8qh.short.gy/ApesE,10EFFECT
Pro Line Energy S,Pickleball Apes,$169.99,2023,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,17,5.50,8.10,Very High,,116,50%,6.26,44%,238,50.2,2%,,,https://a8qh.short.gy/ApesES,10EFFECT
Pulse E,Pickleball Apes,$199.99,2024,Extra-elongated,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,All-Court,17,6.25,8.26,Very High,1986,127,97%,5.89,21%,247,53.8,67%,33.8,49%,https://a8qh.short.gy/PulseE ,10EFFECT
Pulse S,Pickleball Apes,$199.99,2024,Hybrid,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,Control,17,5.50,7.98,Very High,1971,114,35%,6.24,43%,240,53.0,36%,34.1,66%,https://a8qh.short.gy/PulseS ,10EFFECT
Pulse V,Pickleball Apes,$199.99,2024,Standard,Kevlar/Nylon,Raw Texture/Peel Ply,Gen 3,Control,17,5.50,8.13,Very High,1978,112,24%,7.37,97%,237,52.8,34%,34.0,58%,https://a8qh.short.gy/PulseV ,10EFFECT
Hurricane Pro 14mm,PIKKL,$159.99,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,14,5.50,7.83,Very High,1979,108,9%,6.67,71%,237,51.3,12%,33.5,38%,https://a8qh.short.gy/HP14,10EFFECT
Hurricane Pro 16mm,PIKKL,$159.99,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,7.90,Very High,1991,111,20%,6.95,86%,238,51.0,4%,33.3,31%,https://a8qh.short.gy/H16,10EFFECT
Vantage Pro 14mm,PIKKL,$139.99,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,14,5.30,8.04,Very High,1998,115,41%,6.28,47%,236,51.4,13%,,,https://a8qh.short.gy/VP14,10EFFECT
Vantage Pro 16mm,PIKKL,$139.99,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,8.40,Very High,1996,121,77%,6.69,72%,237,51.8,19%,,,https://a8qh.short.gy/VP16,10EFFECT
Series 1 Type A Elongated (11mm),Proton,$280.00,2024,Elongated,Carbon,Nanotak,Gen 1,,11,5.50,8.14,,,124,91%,5.91,24%,247,,,,,https://a8qh.short.gy/S1AE11,10EFFECT
Series 1 Type A Elongated (15mm),Proton,$280.00,2024,Elongated,Carbon,Nanotak,Gen 1,,15,5.50,8.60,High,1938,135,99%,6.52,61%,251,54.0,77%,33.8,49%,https://a8qh.short.gy/1AE15,10EFFECT
