Paddle Name,Brand,Price,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Handle Length (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Link to Paddle,Discount Code
Luxx Control Air S2,Selkirk,$250.00,2023,Widebody,Carbon,Paint Grit,Gen 1.5/Edgeless,Control,20,4.50,8.17,Medium,1870,107,8%,7.13,92%,233,48.6,0%,31.0,0%,https://a8qh.short.gy/LS2,INF-BRAYDONU
Power Air Epic,Selkirk,$249.99,2022,Standard,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,8.04,Medium,1884,104,2%,6.35,50%,229,51.4,13%,34.5,77%,https://a8qh.short.gy/EAir,INF-BRAYDONU
Power Air Invikta,Selkirk,$249.99,2022,Elongated,Fiberglass,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,8.00,Medium,1894,112,24%,5.62,7%,237,51.6,16%,34.4,75%,https://a8qh.short.gy/IAir,INF-BRAYDONU
Vanguard Control Epic (midweight),Selkirk,$200.00,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.30,8.14,,,112,24%,6.37,52%,236,,,,,https://a8qh.short.gy/VCEpic,INF-BRAYDONU
Vanguard Control Invikta (mideweight),Selkirk,$200.00,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,7.97,,,113,31%,5.65,8%,237,,,,,https://a8qh.short.gy/VCInvikta,INF-BRAYDONU
Vanguard Control S2 (midweight),Selkirk,$200.00,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.70,8.01,,,105,3%,7.09,91%,230,,,,,https://a8qh.short.gy/VCS2,INF-BRAYDONU
Vanguard Pro Power Invikta,Selkirk,,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.03,High,1937,114,35%,5.89,21%,237,53.8,67%,33.2,27%,https://a8qh.short.gy/ProPI,INF-BRAYDONU
Project 005 Epic,Selkirk Labs,$222.00,2023,Standard,Fiberglass,Paint Grit,Gen 2/Edgeless,All-Court,16,5.25,7.97,Medium,,110,16%,6.88,83%,238,,,,,https://a8qh.short.gy/005,INF-BRAYDONU
Project 006 Maxima,Selkirk Labs,$333.00,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,8.39,Medium,1848,118,64%,5.97,27%,236,52.2,24%,32.4,8%,https://a8qh.short.gy/006,INF-BRAYDONU
Black Diamond 14mm,Six Zero,$180.00,2024,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,,14,5.50,8.00,Very High,1988,112,24%,6.46,58%,237,53.7,64%,34.7,86%,https://a8qh.short.gy/BD14,10EFFECT
Black Diamond 16mm,Six Zero,$179.99,2023,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,8.07,Very High,1981,114,35%,6.67,71%,239,54.0,77%,34.2,71%,https://a8qh.short.gy/BD,10EFFECT
Black Diamond Amethyst Pro,Six Zero,$199.00,2023,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,8.23,Very High,,115,41%,6.72,74%,234,,,,,https://a8qh.short.gy/BDPRO,10EFFECT
Black Diamond Infinity (16mm),Six Zero,$220.00,2023,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2/Edgeless,All-Court,16,5.50,7.97,High,1990,107,8%,5.80,13%,229,51.0,4%,33.4,34%,https://a8qh.short.gy/BDi,10EFFECT
Double Black Diamond (14 mm),Six Zero,$179.99,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,7.87,Very High,1925,110,16%,6.18,39%,237,51.6,16%,34.8,87%,https://a8qh.short.gy/DBD,10EFFECT
Double Black Diamond (16 mm),Six Zero,$179.99,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.07,Very High,,114,35%,6.55,64%,237,51.8,19%,33.8,49%,https://a8qh.short.gy/DBD,10EFFECT
Double Black Diamond (Elongated),Six Zero,$189.99,2024,Extra-elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,15,6.00,8.18,High,1931,122,81%,5.74,11%,242,54.1,82%,34.1,66%,https://a8qh.short.gy/DBDe,10EFFECT
Double Black Diamond Infinity 16mm,Six Zero,$220.00,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2/Edgeless,Control,16,5.50,8.10,Very High,,110,16%,5.90,23%,231,,,,,https://a8qh.short.gy/DBDI,10EFFECT
Quartz,Six Zero,$89.99,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.00,7.97,High,1949,108,9%,6.43,55%,234,51.0,4%,32.8,15%,https://a8qh.short.gy/Q,10EFFECT
Ruby,Six Zero,$200.00,2023,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.33,Very High,,117,56%,6.81,80%,238,52.0,21%,33.3,31%,https://a8qh.short.gy/ruby,10EFFECT
Ruby (14mm),Six Zero,$199.99,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,8.10,Very High,1965,114,35%,6.53,61%,238,53.5,55%,34.8,87%,https://a8qh.short.gy/R14,10EFFECT
Sapphire,Six Zero,$99.99,2023,Elongated,Carbon,Paint Grit,Gen 2,Power,13,5.50,7.90,High,,111,20%,5.40,3%,224,,,,,https://a8qh.short.gy/Sap,10EFFECT
Triple Black Diamond,Six Zero,$220.00,2024,Extra-elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,15,6.25,8.23,,,126,96%,6.05,31%,248,,,,,https://a8qh.short.gy/TBD,10EFFECT
Halo Control Max,SLK,$139.99,2022,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.75,7.94,Medium,,111,20%,6.94,85%,237,,,,,https://a8qh.short.gy/halo,INF-BRAYDONU
