Company,Paddle,Price,Swing weight,Twist weight,Balance,My paddles weight,Core thickness in mm,Grip length,Grip thickness,RPM,Shape,Face Material,Core Material,Youtube Review,Link to purchase,Discount code,Aa ignore,No ID,Grams,
Chorus Pickleball,Fire SX,169.99,106,6.96,236,7.78,14,5.6,4.25,,Wide body,"Carbon Fiber,Fiberglass,titanium (polyester threads)",Polymer Honeycomb,,,PBSTUDIO 10% OFF,,478,220.54,
Chorus Pickleball,Fire HX,169.99,110,6.33,239,7.74,14,5.6,4.25,,Hybrid,"Carbon Fiber,Fiberglass,titanium (polyester threads)",Polymer Honeycomb,,,PBSTUDIO 10% OFF,,479,219.32,
Chorus Pickleball,Fire EX,169.99,113,6.09,241,7.73,14,5.6,4.25,,Elongated,"Carbon Fiber,Fiberglass,titanium (polyester threads)",Polymer Honeycomb,,,PBSTUDIO 10% OFF,,480,219.2,PBSTUDIO
Diadem,Warrior Edge,174.95,120,6.48,,0,16,5,4.125,1475,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=mKHZRLDtTZI,https://bit.ly/3OpIlOp,,,93,,
Diadem,Edge 18k,229.99,117,6.17,241,7.9,16,5.3,4.125,,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3tTxQOO,,,276,223.9,
Diadem,Edge 18k Pro Power,229.99,121,6.35,235,8.22,16,5.75,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,,,275,232.9,
Diadem,Warrior,189.95,127,,,0,19,5.3,4.125,1452,Elongated,Carbon Fiber,"Polymer Honeycomb,kevlar",https://www.youtube.com/watch?v=CawNmUGX8vc,https://bit.ly/3EhnAPT,,,83,,
Diadem,Warrior v2,229.95,116,,,0,19,5.3,4.125,1588,Elongated,Raw carbon fiber,"Polymer Honeycomb,kevlar",https://www.youtube.com/watch?v=Lecpwc7M6vE&ab_channel=PickleballStudio,https://bit.ly/3HlC8lX,,,263,,
Diadem,Icon v1,159.95,107,5.89,227,7.98,8,5,4.25,1440,Standard,Carbon Fiber,Polymer Honeycomb,,https://bit.ly/3BGM9It,,,47,226.1,
Diadem,Icon v2,199.99,122,5.72,238,8.43,13.7,5.5,4.125,1851,Elongated,Carbon Fiber,"Polymer Honeycomb,kevlar",,https://bit.ly/42UMZMR,,,157,239,
Diadem,Icon Infinity Max,219.95,109,7.21,235,8.19,13.7,5,4.125,,Wide body,"(Paint Grit),Carbon Fiber",Polymer Honeycomb,,,,,520,232.26,
Diadem,Edge 18k Max,229.95,110,7.51,239,8.08,16,6,4.125,,Wide body,Raw carbon fiber,Polymer Honeycomb,,,,,519,229.1,
Diadem,Edge 18k Max Power,239.95,108,7.61,233,8.05,16,5,4.125,,Wide body,Raw carbon fiber,Polymer Honeycomb,,,,,518,228.25,
Electrum,Model E 13mm,159.99,111,5.87,,0,13,5.25,4.5,1664,Elongated,Raw carbon fiber,Polymer Honeycomb,,http://bit.ly/3tLL3ps,,,122,,
Electrum,Model E 16mm,179.99,117,6.33,,7.47,16,5.25,4.5,1664,Elongated,Raw carbon fiber,Polymer Honeycomb,https://youtu.be/pm7mSAKghW4,https://bit.ly/3BoneqS,,,89,211.83,PBSTUDIO
Electrum,Model E Elite,199.99,122,7.04,237,8.45,16,5.25,4.5,1800,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=wKbjae9lkHs,https://bit.ly/42QHPB6,PBSTUDIO,,186,239.6,
Electrum,Pro II,199.99,123,7.25,239,8.21,11,5.5,4.25,1523,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3z8Qd1a,PBSTUDIO 10% OFF,,39,232.8,
Electrum,Pro II Stealth,219.99,95,5.09,226,7.29,12,5.25,4.25,,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49i6yBs,PBSTUDIO 10% OFF,,342,206.7,
Electrum,Model E Stealth,219.99,112,5.39,236,8.01,16,5.5,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49yn3cs,PBSTUDIO 10% OFF,,343,227,
Electrum,Pro Stealth,219.99,87,5.38,222,7.11,12,5,4.25,1669,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3wfk7D3,PBSTUDIO 10% OFF,,344,201.5,
Engage,Pursuit MX,219.99,122,6.54,,0,13,5.75,4.125,,Elongated,Graphite,Polymer Honeycomb,,https://bit.ly/3sTrfRo,PBSTUDIO 20% OFF,,213,,
Engage,Pursuit MX 6.0,219.99,137,7.85,,0,16,5.75,4.25,1520,Elongated,Graphite,Polymer Honeycomb,https://youtu.be/pm7mSAKghW4,https://bit.ly/3sTrfRo,PBSTUDIO 20% OFF,,63,,
Engage,Pursuit EX 6.0,219.99,120,8.2,,0,16,5,4.25,1513,Standard,Graphite,Polymer Honeycomb,https://youtu.be/pm7mSAKghW4,https://bit.ly/34pHqN0,PBSTUDIO 20% OFF,,40,,
Engage,Pursuit Ultra EX 6.0,259.99,114,7.44,,0,16,5,4.5,1331,Standard,Carbon Fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=z52jrPihlKw&t=15s&ab_channel=PickleballStudio,https://bit.ly/3Oa2ADo,PBSTUDIO 20% OFF,,174,,
Engage,Encore MX 6.0,159.99,,,,0,15.24,5.75,4.125,1166,Elongated,Fiberglass,Polymer Honeycomb,,https://bit.ly/3czf0nK,PBSTUDIO 20% OFF,,28,,
,,,,,,0,,,,,Wide body,,,,,,,486,,
Engage,Pursuit Pro EX,259.99,107,6.64,,0,13,5,4.25,1997,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3RfJop7,PBSTUDIO 20% OFF,,264,,
Engage,Pursuit Pro EX 6.0,259.99,114,7.19,240,7.97,16,5,4.375,2036,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/4665Nt8,PBSTUDIO 20% OFF,,265,225.9,
Engage,Pursuit Pro MX,259.99,121,6.15,,0,13,5.75,4.25,2012,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/48lKRRd,PBSTUDIO 20% OFF,,266,,
Engage,Pursuit Pro MX 6.0,259.99,123,6.64,,0,16,5.75,4.375,2057,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3raJt2T,PBSTUDIO 20% OFF,,267,,
Engage,Pursuit Maxx MX 6.0,199.99,125,6.49,239,7.47,16,5.75,4.375,,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3OGbmsk,PBSTUDIO 20% OFF,,326,211.9,
Engage,Pursuit Maxx EX 6.0,199.99,117,7.69,243,7.8,16,5,4.375,,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/4bGoqrc,PBSTUDIO 20% OFF,,327,221,
Engage,Pursuit Pro1 6.0 (Mid weight),259.99,113,5.83,230,8.01,16,5.875,4.25,2003,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=FOYiATAad8c&ab_channel=PickleballStudio,https://bit.ly/3w3mtp2,PBSTUDIO 20% OFF,,368,227.07,
Engage,Pursuit Pro1 6.0 (Lite),259.99,112,5.73,,7.62,16,5.875,4.25,2015,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=FOYiATAad8c&ab_channel=PickleballStudio,https://bit.ly/3w3mtp2,PBSTUDIO 20% OFF,,369,216.02,
Engage,Pursuit Pro1 (Mid weight),259.99,110,5.66,,7.94,13,5.875,4.25,2023,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=FOYiATAad8c&ab_channel=PickleballStudio,https://bit.ly/4aNHSBD,PBSTUDIO 20% OFF,,370,225.09,
Engage,Pursuit Pro1 (Lite),259.99,107,5.52,,7.74,13,5.875,4.25,1990,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=FOYiATAad8c&ab_channel=PickleballStudio,https://bit.ly/4aNHSBD,PBSTUDIO 20% OFF,,371,219.42,
Engage,Extreme v2.16,159.99,125,6.88,242,8.19,16,5.25,4.25,1931,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3xWqiN7,PBSTUDIO 20% OFF,,328,232.1,
Engage,Extreme v2.14,159.99,115,6.27,239,7.79,14,5.25,4.25,1965,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3xWqiN7,PBSTUDIO 20% OFF,,329,220.9,
Engage,Encore Pro v2 15.2,99.99,105,6,231,7.81,15.3,5.4,4.25,1954,Hybrid,Fiberglass,Polymer Honeycomb,,,PBSTUDIO 20% OFF,,468,221.4,
Engage,Encore Pro v2 12.7,99.99,106,5.79,230,7.86,12.7,5.4,4.25,1901,Hybrid,Fiberglass,Polymer Honeycomb,,,PBSTUDIO 20% OFF,,469,222.8,
Engage,Evolution Aero,139.99,104,5.8,230,7.75,16,5.5,4.25,1830,Elongated,Raw carbon fiber,Polymer Honeycomb,,,,,470,219.8,
Engage,Pursuit v2.0,179.99,113,6.32,242,7.9,15.2,5.3,4.25,2008,Hybrid,Raw carbon fiber,Polymer Honeycomb,,,,,471,223.9,
Omega,Evolution Pro,129.99,130,6.6,,0,16,5.62,4.375,1530,Elongated,Fiberglass,Polymer Honeycomb,,https://bit.ly/3d8D3Kp,PBSTUDIO,,38,,
Omega,Evolution Elite,149.99,93,4.86,,0,9.5,5,4.25,1717,Standard,Carbon Fiber,Polymer Honeycomb,,https://bit.ly/3vEfAXN,PBSTUDIO,,32,,
Omega,Evolution Max,109.99,111,6.46,,0,12.7,5,4.25,1624,Standard,Carbon Fiber,Polymer Honeycomb,,https://bit.ly/3vE66vK,PBSTUDIO,,27,,
Franklin,Signature Carbon STK 14.5mm,149.99,113,5.87,241,7.69,14.5,5.6,4.375,1393,Elongated,Carbon Fiber,Polymer Honeycomb,https://youtu.be/0oPHJa0T408,https://bit.ly/3HlC8lX,PBSTUDIO 10% OFF,,123,218,
Franklin,Signature Carbon STK 17mm,149.99,120,6.6,246,7.89,17,5.6,4.25,1316,Elongated,Carbon Fiber,Polymer Honeycomb,https://youtu.be/0oPHJa0T408,https://bit.ly/3HlC8lX,PBSTUDIO 10% OFF,,124,223.8,
Franklin,FS Tour Dynasty 16mm,149.99,134,6.88,242,8.69,16,5.6,4.3,2014,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49g8F93,PBSTUDIO 10% OFF,,310,246.4,PBSTUDIO
Franklin,FS Tour Dynasty 14mm,149.99,121,6.45,241,8.12,14,5.6,4.3,1989,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49g8F93,PBSTUDIO 10% OFF,,311,230.2,
Franklin,FS Tour Tempo 16mm,149.99,115,7.04,,0,16,5,4.3,2009,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49g8F93,PBSTUDIO 10% OFF,,312,,
Franklin,FS Tour Tempo 14mm,149.99,114,7.15,233,8.71,14,5,4.3,1983,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49g8F93,PBSTUDIO 10% OFF,,313,246.9,
Franklin,FS Tour Tempo 12mm,149.99,98,5.93,229,7.38,12,5,4.3,1943,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3WLUFAA,PBSTUDIO 10% OFF,,388,209.21,
Franklin,FS Tour Dynasty 12mm,149.99,104,5.57,234,7.28,12,5.6,4.3,1911,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3WLUFAA,PBSTUDIO 10% OFF,,389,206.38,
Franklin,C45 14mm,229.99,104,5.42,236,7.56,14,5.7,4.3,,Hybrid,Raw carbon fiber,Polymer Honeycomb,https://youtu.be/bv9Tz65mvi0,https://bit.ly/4iqfXes,PBSTUDIO 10% OFF,,490,214.41,
Friday Pickle,Original,99,116,6.29,240,8.08,16,5.5,4.25,2036,Elongated,Carbon Fiber,Polymer Honeycomb,,https://bit.ly/3GWXkyd,PBSTUDIO,,294,229.2,PBSTUDIO
Friday Pickle,Challenger,89,122,6.38,240,8.26,16,5.5,4.25,1890,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3UFdQdX,PBSTUDIO,,372,234.1,
Gamma,Obsidian 10mm,159.99,114,5.79,240,7.85,10,5.37,4.125,1889,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3UHGzPn,PBSTUDIO 10% OFF,,320,222.6,
Gamma,Obsidian 13mm,159.99,115,6.05,237,7.99,13,5.37,4.125,1702,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3uC6A8i,PBSTUDIO 10% OFF,,321,226.6,
Gamma,Obsidian 16mm,159.99,120,6.46,240,8.18,16,5.37,4.125,1754,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49iIaje,PBSTUDIO 10% OFF,,322,231.9,
Gamma,Airbender 16,199.99,112,5.51,220,8.99,16,5.37,4.125,1541,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3OKuPIq,PBSTUDIO 10% OFF,,323,254.8,
Gearbox,G2 Integra,139.99,113,5.54,243,7.97,14,5.5,4.125,2001,Standard,Carbon Fiber,Carbon Fiber,,https://bit.ly/49ECjEP,,,333,225.9,
Gearbox,G2 Quad,139.99,104,6.11,234,7.81,14,,4.125,2047,Standard,Carbon Fiber,Carbon Fiber,,,,,334,221.5,
Gearbox,G2 Elongated,119.99,120,5.41,247,7.96,14,5.5,4.125,2034,Elongated,Carbon Fiber,Carbon Fiber,,https://bit.ly/3OMpmke,,,335,225.8,
Gearbox,CX14E,199.99,101,4.29,216,7.96,14,5.6,3.625 & 3.9,1512,Elongated,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=YFwA0lbFWCY&t=26s,https://bit.ly/3TwrJZe,,,97,225.8,
Gearbox,CX14H,199.99,91,5.16,209,7.95,14,5.6,3.625 & 3.9,1692,Standard,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=YFwA0lbFWCY&t=26s,https://bit.ly/3e8FbCe,,,87,225.5,
Gearbox,CX14H Ultimate,249.99,109,5.75,223,8.48,14,5.6,3.625 & 3.9,1863,Standard,Carbon Fiber,Carbon Fiber,https://youtu.be/qm3snditb-M,https://bit.ly/3RdIXf9,,,146,240.4,
Gearbox,CX14E Ultimate,249.99,119,5.12,231,8.49,14,5.6,3.625 & 3.9,1850,Elongated,Carbon Fiber,Carbon Fiber,https://youtu.be/qm3snditb-M,https://bit.ly/3Zc6oYm,,,147,240.7,
Gearbox,CX11E Power 7.8oz,199.99,98,4.69,213,7.83,11,5.6,3.625 & 3.9,1556,Elongated,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3P5w5D7,,,79,222,
Gearbox,CX11E Power 8.5oz,199.99,111,4.96,220,8.53,11,5.6,3.625 & 3.9,1512,Elongated,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3RmE2Ft,,,68,241.9,
Gearbox,CX11E Control 8.5oz,199.99,113,4.97,224,8.55,11,5.6,3.625 & 3.9,1565,Elongated,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3p3Qaio,,,41,242.3,
Gearbox,CX11E Control 7.8oz,199.99,102,4.65,219,7.86,11,5.6,3.625 & 3.9,1584,Elongated,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3ed9Iix,,,46,222.8,
Gearbox,CX11Q Power 7.8oz,199.99,91,5.15,213,7.73,11,4.75,3.625 & 3.9,1584,Standard,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3TuRmcF,,,71,219.2,
Gearbox,CX11Q Control 7.8oz,199.99,93,5.35,,0,11,4.75,3.625 & 3.9,1584,Standard,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3ed9Iix,,,67,,
Gearbox,CX11Q Control 8.5oz,199.99,100,5.5,,0,11,4.75,3.625 & 3.9,1488,Standard,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3KyCfLm,,,57,,
Gearbox,CX11Q Power 8.5oz,199.99,99,5.69,213,8.47,11,4.75,3.625 & 3.9,1584,Standard,Carbon Fiber,Carbon Fiber,https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio,https://bit.ly/3RmE2Ft,,,35,240.2,
Gearbox,GBX,199.99,122,6.33,235,8.57,16,5.5,4.25,1524,Elongated,Carbon Fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=Du6cr8k1y0o&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=30,https://bit.ly/3sR6Pef,,,143,243,
Gearbox,Pro Power Elongated,274.99,119,5.02,248,7.71,14,5.5,4,2078,Elongated,Raw carbon fiber,Carbon Fiber,https://youtu.be/wtmiw0njtSY,https://bit.ly/3QjKsHW,,,269,218.6,
Gearbox,Pro Control Elongated,274.99,120,4.86,245,7.92,14,5.5,4,2000,Elongated,Raw carbon fiber,Carbon Fiber,https://youtu.be/wtmiw0njtSY,https://bit.ly/3QjKsHW,,,270,224.6,
Gearbox,Pro Power Fusion,274.99,110,4.96,236,8.49,14,5.5,4,1966,Standard,Raw carbon fiber,Carbon Fiber,https://youtu.be/wtmiw0njtSY,https://bit.ly/3QjKsHW,,,271,240.6,
Gearbox,Pro Control Fusion,274.99,112,5.06,235,8.14,14,5.5,4,1998,Standard,Raw carbon fiber,Carbon Fiber,https://youtu.be/wtmiw0njtSY,https://bit.ly/3QjKsHW,,,272,230.9,
Gearbox,Pro Ultimate Elongated,274.99,124,5.43,253,8,16,5.5,4,1971,Elongated,Raw carbon fiber,Carbon Fiber,,https://bit.ly/4dx7xzp,,Gearbox Pro Ultimate,417,226.79,
Gearbox,Pro Ultimate Hyper,274.99,113,6.32,247,7.98,16,5.5,4,2014,Standard,Raw carbon fiber,Carbon Fiber,,,,,477,226.29,
GRUVN,16E,99,113,6.38,239,7.63,16,4.75,4.375,1491,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3RkkJww,PBSTUDIO 10% OFF,,56,216.2,PBSTUDIO
GRUVN,16H,99,120,5.82,245,7.68,16,5.875,4.5,1504,Elongated,Raw carbon fiber,Polymer Honeycomb,https://youtu.be/ZgFQO9rL14Yv,https://bit.ly/3RgIJAU,PBSTUDIO 10% OFF,,55,217.7,
GRUVN,MUVN 16X,159,117,6.36,234,8.25,16,5.5,4.125,1804,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/44xv1An,PBSTUDIO 10% OFF,,209,233.9,
GRUVN,MUVN 13S,159,99,6.45,224,7.69,13,5.3,4.125,1863,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3GwLHhc,PBSTUDIO 10% OFF,,303,218,
GRUVN,MUVN 16S,159,103,7.06,,0,16,5.3,4.25,1902,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/4bHz80I,PBSTUDIO 10% OFF,,330,,
GRUVN,MUVN 16E,159,118,6.68,234,8.4,16,5.3,4.25,1876,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/4bBq5hZ,PBSTUDIO 10% OFF,,331,238.1,
GRUVN,MUVN 16H,159,119,6.07,238,8.11,16,5.75,4.25,1850,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/49lnGq3,PBSTUDIO 10% OFF,,332,229.9,
GRUVN,MUVN 16V,159,104,7.61,225,8.28,16,4.75,4.25,1909,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/4aZhNz6,PBSTUDIO 10% OFF,,366,234.73,
GRUVN,LAZR-16HD,169,111,6.49,240,7.87,16,5.5,4.125,,Hybrid,"Carbon Fiber,Kevlar",Polymer Honeycomb,,,PBSTUDIO 10% OFF,,492,223.25,
GRUVN,LAZR-16X,169,117,6.33,242,8.02,16,5.5,4.125,,Elongated,"Carbon Fiber,Kevlar",Polymer Honeycomb,,,PBSTUDIO 10% OFF,,522,227.4,
Gryp,Balance 1,200,113,5.93,,0,15,5.5,4.25,1904,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/488Sx8d,,,302,,
Head,Radical Nite,219.95,116,5.85,233,8.21,15,5.5,4.125,1875,Elongated,"(Paint Grit),Raw carbon fiber",Polymer Honeycomb,,,,,353,232.8,
Head,Boom Tour EX 2024,199.95,114,5.25,240,7.92,11,5.5,4.125,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,,,418,224.45,
Head,Boom Team EX 2024,99.95,115,5.55,238,8.01,13,5.5,4.125,,Elongated,"(Paint Grit),Carbon Fiber",Polymer Honeycomb,,,,,419,227.14,
Holbrook,Power Pro 16mm,219.99,120,6.23,,0,16,5.5,4.25,1900,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3VuIyqr,PBSTUDIO 10% OFF,,314,,
Holbrook,Power Pro 14mm,219.99,120,6.13,,0,14,5.5,4.25,1888,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3VuIyqr,PBSTUDIO 10% OFF,,315,,
Holbrook,Power Pro 12mm,219.99,117,5.81,,0,12,5.5,4.25,1911,Elongated,Raw carbon fiber,Polymer Honeycomb,,,,,316,,
Holbrook,Power Pro E 16mm,219.99,117,6.44,,0,16,5.25,4.25,1890,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/4cbW5IQ,PBSTUDIO 10% OFF,,317,,
Holbrook,Power Pro E 14mm,219.99,119,6.37,,0,14,5.25,4.25,1945,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/4aXb1JQ,PBSTUDIO 10% OFF,,318,,
Holbrook,Aero T 16mm,199.99,113,5.73,236,7.9,16,5.5,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,472,224.05,
Holbrook,Aero X 16mm,199.99,111,5.94,237,7.85,16,5.25,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,473,222.63,
Honolulu Pickleball,J1,185,117,6.65,237,8.05,16,5.75,4.125,,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3yMqD5w,PBSTUDIO 10% OFF,,300,228.1,
Honolulu Pickleball,J2,145,113,6.82,233,8.08,16,5.5,4.125,,Hybrid,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3yMquPw,PBSTUDIO 10% OFF,,299,229.06,PBSTUDIO
Honolulu Pickleball,J3,145,113,7.15,236,8.07,16,6,4.125,,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3VyNIAH,PBSTUDIO 10% OFF,,398,228.9,
Honolulu Pickleball,J5,165,128,6.14,,0,16,5.75,4.125,,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/45hi7Yn,PBSTUDIO 10% OFF,,400,,
Honolulu Pickleball,J1H,185,120,6.54,239,8.14,16,5.75,4.125,,Elongated,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/4ebkekK,PBSTUDIO 10% OFF,,301,230.8,
Honolulu Pickleball,J2H,145,113,7.13,235,8.22,16,5.5,4.125,,Hybrid,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/3Xc7jZC,PBSTUDIO 10% OFF,,399,233.03,
Honolulu Pickleball,J2K 16mm,155,113,6.95,235,8.17,16,5.5,4.125,1935,Hybrid,Kevlar,Polymer Honeycomb,https://www.youtube.com/watch?v=JIca-tx8Uj0&t=1s&ab_channel=PickleballStudio,https://bit.ly/3RiEZ47,PBSTUDIO-KEVLAR 10% OFF,,355,231.61,
Honolulu Pickleball,J2K 14mm,165,113,6.67,232,8.23,14,5.5,4.125,,Hybrid,Kevlar,Polymer Honeycomb,,https://bit.ly/4euIGwU,PBSTUDIO-KEVLAR 10% OFF,,438,233.4,
Honolulu Pickleball,J2K Pro,165,113,6.91,236,7.99,16,5.5,4.125,1648,Hybrid,Kevlar,Polymer Honeycomb,,https://bit.ly/3XeNCAG,PBSTUDIO-KEVLAR 10% OFF,,356,226.62,
Honolulu Pickleball,J2K+,,114,7,238,8.18,16,5.5,4.125,,Hybrid,Kevlar,Polymer Honeycomb,,,PBSTUDIO-KEVLAR 10% OFF,,494,232.04,
Honolulu Pickleball,J2XK,,112,6.27,240,7.88,16,6,4.125,,Hybrid,Kevlar,Polymer Honeycomb,,,PBSTUDIO-KEVLAR 10% OFF,,517,223.42,
Honolulu Pickleball,J2 Ti,155,114,6.87,234,8.13,16,5.5,4.125,,Hybrid,titanium (polyester threads),Polymer Honeycomb,https://www.youtube.com/watch?v=JIca-tx8Uj0&t=1s&ab_channel=PickleballStudio,,PBSTUDIO 10% OFF,,437,230.5,
Honolulu Pickleball,J2 Ti+,,114,7.04,238,8.28,16,5.5,4.125,,Hybrid,titanium (polyester threads),Polymer Honeycomb,,,PBSTUDIO 10% OFF,,493,234.75,
Honolulu Pickleball,J3K,155,117,7.28,238,8.29,16,6,4.125,,Standard,Kevlar,Polymer Honeycomb,,https://bit.ly/4ealBjD,PBSTUDIO-KEVLAR 10% OFF,,394,235.01,
Honolulu Pickleball,J3K Pro,165,111,6.95,234,7.97,16,6,4.125,,Standard,Kevlar,Polymer Honeycomb,,https://bit.ly/3Rhf0tK,PBSTUDIO-KEVLAR 10% OFF,,395,225.94,
Honolulu Pickleball,J4K,155,107,8.18,234,8,16,,4.125,,Wide body,Kevlar,Polymer Honeycomb,,,PBSTUDIO-KEVLAR 10% OFF,,504,226.8,
Honolulu Pickleball,J4K Pro,165,104,7.92,232,7.93,16,,4.125,,Wide body,Kevlar,Polymer Honeycomb,,,PBSTUDIO-KEVLAR 10% OFF,,521,224.73,
Honolulu Pickleball,J3 Ti,155,114,6.98,241,8.07,16,6,4.125,,Standard,titanium (polyester threads),Polymer Honeycomb,,,PBSTUDIO 10% OFF,,503,228.8,
Honolulu Pickleball,J7K,155,121,6.39,241,8.23,16,6,4.125,,Elongated,Kevlar,Polymer Honeycomb,,https://bit.ly/3KyB3sk,PBSTUDIO-KEVLAR 10% OFF,,396,233.31,
Honolulu Pickleball,J7K Pro,165,120,6.34,241,8.16,16,6,4.125,,Elongated,Kevlar,Polymer Honeycomb,,https://bit.ly/3yJNE9d,PBSTUDIO-KEVLAR 10% OFF,,397,231.33,
Hudef,Viva Pro 16mm,99,120,6.81,,0,16,5.5,4.25,1772,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=wdzO-jzG1dY&ab_channel=PickleballStudio,https://bit.ly/3nPWixX,PBSTUDIO 10% OFF,,184,,
Hudef,Viva Pro 14mm,99,117,6.5,,0,14,5.5,4.125,1776,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=wdzO-jzG1dY&ab_channel=PickleballStudio,https://bit.ly/3nPWixX,PBSTUDIO 10% OFF,,185,,
Hudef,Apex Pro 16mm,89,112,6.92,,0,16,4.9,4.25,1818,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3KA1qyf,PBSTUDIO 10% OFF,,228,,
Hudef,Apex Pro 14mm,89,103,6.56,,0,14,4.9,4.125,1835,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3KA1qyf,PBSTUDIO 10% OFF,,229,,
Hudef,Viva Pro Gen 2,,124,6.45,,0,16,,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,,,339,,
